rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split0_train_score
1,-0.1306255934088755,0.0,-0.06382775189426873,0.0,0.24000191688537598,0.0,0.0009970664978027344,0.0,0.001,{'model__alpha': 0.001},-0.1306255934088755,-0.06382775189426873
2,-0.13198266015702595,0.0,-0.07895733905815382,0.0,0.015369176864624023,0.0,0.0009000301361083984,0.0,0.01,{'model__alpha': 0.01},-0.13198266015702595,-0.07895733905815382
3,-0.14739900113869245,0.0,-0.06207182162676777,0.0,0.17629408836364746,0.0,0.0013570785522460938,0.0,0.0001,{'model__alpha': 0.0001},-0.14739900113869245,-0.06207182162676777
4,-0.2518805778517361,0.0,-0.20000333382443874,0.0,0.008747100830078125,0.0,0.0015218257904052734,0.0,0.1,{'model__alpha': 0.1},-0.2518805778517361,-0.20000333382443874
5,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.0056018829345703125,0.0,0.0008912086486816406,0.0,1,{'model__alpha': 1},-1.2871205235891103,-1.0000000000000004
5,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.005469322204589844,0.0,0.0010259151458740234,0.0,10,{'model__alpha': 10},-1.2871205235891103,-1.0000000000000004
5,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.007071971893310547,0.0,0.000888824462890625,0.0,100,{'model__alpha': 100},-1.2871205235891103,-1.0000000000000004
5,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.007266998291015625,0.0,0.0009140968322753906,0.0,1000,{'model__alpha': 1000},-1.2871205235891103,-1.0000000000000004
5,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.006971836090087891,0.0,0.0009052753448486328,0.0,10000,{'model__alpha': 10000},-1.2871205235891103,-1.0000000000000004
