rank_test_score,mean_test_score,std_test_score,mean_train_score,std_train_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__l1_ratio,params,split0_test_score,split0_train_score
27,-0.1482944411337165,0.0,-0.06204448698206831,0.0,0.22776484489440918,0.0,0.0010371208190917969,0.0,0.0001,0.9,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.9}",-0.1482944411337165,-0.06204448698206831
28,-0.14920004432176343,0.0,-0.06201806687575457,0.0,0.22648286819458008,0.0,0.0010428428649902344,0.0,0.0001,0.8,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.8}",-0.14920004432176343,-0.06201806687575457
29,-0.1501297336035186,0.0,-0.06199225304046544,0.0,0.19721388816833496,0.0,0.0010139942169189453,0.0,0.0001,0.7000000000000001,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.7000000000000001}",-0.1501297336035186,-0.06199225304046544
30,-0.15108588315671664,0.0,-0.06196714158201702,0.0,0.18245410919189453,0.0,0.0016360282897949219,0.0,0.0001,0.6000000000000001,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.6000000000000001}",-0.15108588315671664,-0.06196714158201702
31,-0.15205440624554986,0.0,-0.06194290043994769,0.0,0.2848954200744629,0.0,0.0019466876983642578,0.0,0.0001,0.5,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.5}",-0.15205440624554986,-0.06194290043994769
32,-0.15303174867337266,0.0,-0.06191966524131747,0.0,0.3090050220489502,0.0,0.0010149478912353516,0.0,0.0001,0.4,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.4}",-0.15303174867337266,-0.06191966524131747
33,-0.15402578757386742,0.0,-0.06189758553078868,0.0,0.23858404159545898,0.0,0.0017161369323730469,0.0,0.0001,0.30000000000000004,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.30000000000000004}",-0.15402578757386742,-0.06189758553078868
34,-0.1550566215348136,0.0,-0.061876157995605155,0.0,0.22885704040527344,0.0,0.0010781288146972656,0.0,0.0001,0.2,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.2}",-0.1550566215348136,-0.061876157995605155
35,-0.1560705083186982,0.0,-0.061855796605578516,0.0,0.23769712448120117,0.0,0.0010058879852294922,0.0,0.0001,0.1,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.1}",-0.1560705083186982,-0.061855796605578516
36,-0.1569900217763981,0.0,-0.061836279430060946,0.0,0.23643898963928223,0.0,0.001020193099975586,0.0,0.0001,0.0,"{'model__alpha': 0.0001, 'model__l1_ratio': 0.0}",-0.1569900217763981,-0.061836279430060946
37,-0.1572342064947855,0.0,-0.10673898992775849,0.0,0.016021013259887695,0.0,0.0014979839324951172,0.0,0.1,0.30000000000000004,"{'model__alpha': 0.1, 'model__l1_ratio': 0.30000000000000004}",-0.1572342064947855,-0.10673898992775849
38,-0.1698066399139485,0.0,-0.12012890809661204,0.0,0.020260095596313477,0.0,0.0011839866638183594,0.0,0.1,0.4,"{'model__alpha': 0.1, 'model__l1_ratio': 0.4}",-0.1698066399139485,-0.12012890809661204
39,-0.1818222419264813,0.0,-0.10837297139850739,0.0,0.32215118408203125,0.0,0.0010607242584228516,0.0,1,0.0,"{'model__alpha': 1, 'model__l1_ratio': 0.0}",-0.1818222419264813,-0.10837297139850739
40,-0.18310323332361134,0.0,-0.13525271169254274,0.0,0.011126041412353516,0.0,0.0010461807250976562,0.0,0.1,0.5,"{'model__alpha': 0.1, 'model__l1_ratio': 0.5}",-0.18310323332361134,-0.13525271169254274
41,-0.19586377959037332,0.0,-0.1485178736534204,0.0,0.014375925064086914,0.0,0.0009570121765136719,0.0,0.1,0.6000000000000001,"{'model__alpha': 0.1, 'model__l1_ratio': 0.6000000000000001}",-0.19586377959037332,-0.1485178736534204
42,-0.21060702232604075,0.0,-0.1621223770524018,0.0,0.009301185607910156,0.0,0.0011188983917236328,0.0,0.1,0.7000000000000001,"{'model__alpha': 0.1, 'model__l1_ratio': 0.7000000000000001}",-0.21060702232604075,-0.1621223770524018
43,-0.22527747916522728,0.0,-0.1756473932310199,0.0,0.016888141632080078,0.0,0.0017769336700439453,0.0,0.1,0.8,"{'model__alpha': 0.1, 'model__l1_ratio': 0.8}",-0.22527747916522728,-0.1756473932310199
44,-0.23840783585740438,0.0,-0.1875028804202937,0.0,0.012395143508911133,0.0,0.00150299072265625,0.0,0.1,0.9,"{'model__alpha': 0.1, 'model__l1_ratio': 0.9}",-0.23840783585740438,-0.1875028804202937
45,-0.2518805778517361,0.0,-0.20000333382443874,0.0,0.010478019714355469,0.0,0.0010440349578857422,0.0,0.1,1.0,"{'model__alpha': 0.1, 'model__l1_ratio': 1.0}",-0.2518805778517361,-0.20000333382443874
46,-0.30847315168952255,0.0,-0.24069652790168822,0.0,0.008263111114501953,0.0,0.0009479522705078125,0.0,1,0.1,"{'model__alpha': 1, 'model__l1_ratio': 0.1}",-0.30847315168952255,-0.24069652790168822
47,-0.4509311664522971,0.0,-0.3428633012481911,0.0,0.006710052490234375,0.0,0.0009431838989257812,0.0,1,0.2,"{'model__alpha': 1, 'model__l1_ratio': 0.2}",-0.4509311664522971,-0.3428633012481911
48,-0.4550561633214793,0.0,-0.3262227544685924,0.0,0.2608649730682373,0.0,0.001127004623413086,0.0,10,0.0,"{'model__alpha': 10, 'model__l1_ratio': 0.0}",-0.4550561633214793,-0.3262227544685924
49,-0.5947485792851681,0.0,-0.45289316203669094,0.0,0.0062367916107177734,0.0,0.0009469985961914062,0.0,1,0.30000000000000004,"{'model__alpha': 1, 'model__l1_ratio': 0.30000000000000004}",-0.5947485792851681,-0.45289316203669094
50,-0.7493442761125818,0.0,-0.5724368669111759,0.0,0.008725166320800781,0.0,0.0016679763793945312,0.0,1,0.4,"{'model__alpha': 1, 'model__l1_ratio': 0.4}",-0.7493442761125818,-0.5724368669111759
51,-0.8961727294351285,0.0,-0.6882319880486659,0.0,0.008481025695800781,0.0,0.0010571479797363281,0.0,1,0.5,"{'model__alpha': 1, 'model__l1_ratio': 0.5}",-0.8961727294351285,-0.6882319880486659
52,-1.0354458177994508,0.0,-0.7983921533365067,0.0,0.0052530765533447266,0.0,0.0009489059448242188,0.0,1,0.6000000000000001,"{'model__alpha': 1, 'model__l1_ratio': 0.6000000000000001}",-1.0354458177994508,-0.7983921533365067
53,-1.0521811832014898,0.0,-0.8039734795247873,0.0,0.2641489505767822,0.0,0.0011010169982910156,0.0,100,0.0,"{'model__alpha': 100, 'model__l1_ratio': 0.0}",-1.0521811832014898,-0.8039734795247873
54,-1.1641192859373835,0.0,-0.9009343011047724,0.0,0.004514932632446289,0.0,0.0014481544494628906,0.0,1,0.7000000000000001,"{'model__alpha': 1, 'model__l1_ratio': 0.7000000000000001}",-1.1641192859373835,-0.9009343011047724
55,-1.258588094038091,0.0,-0.9760131663346783,0.0,0.2583341598510742,0.0,0.0013399124145507812,0.0,1000,0.0,"{'model__alpha': 1000, 'model__l1_ratio': 0.0}",-1.258588094038091,-0.9760131663346783
56,-1.2842053556930113,0.0,-0.9975471548540471,0.0,0.18526387214660645,0.0,0.0010159015655517578,0.0,10000,0.0,"{'model__alpha': 10000, 'model__l1_ratio': 0.0}",-1.2842053556930113,-0.9975471548540471
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.0043561458587646484,0.0,0.0009467601776123047,0.0,1,0.8,"{'model__alpha': 1, 'model__l1_ratio': 0.8}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.006736040115356445,0.0,0.001756906509399414,0.0,1,0.9,"{'model__alpha': 1, 'model__l1_ratio': 0.9}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.006594181060791016,0.0,0.0015540122985839844,0.0,1,1.0,"{'model__alpha': 1, 'model__l1_ratio': 1.0}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004775047302246094,0.0,0.0009660720825195312,0.0,10,0.1,"{'model__alpha': 10, 'model__l1_ratio': 0.1}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.00831913948059082,0.0,0.000946044921875,0.0,10,0.2,"{'model__alpha': 10, 'model__l1_ratio': 0.2}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004533052444458008,0.0,0.0009400844573974609,0.0,10,0.30000000000000004,"{'model__alpha': 10, 'model__l1_ratio': 0.30000000000000004}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004305839538574219,0.0,0.0009462833404541016,0.0,10,0.4,"{'model__alpha': 10, 'model__l1_ratio': 0.4}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.005339145660400391,0.0,0.0011432170867919922,0.0,10,0.5,"{'model__alpha': 10, 'model__l1_ratio': 0.5}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.0050640106201171875,0.0,0.0009839534759521484,0.0,10,0.6000000000000001,"{'model__alpha': 10, 'model__l1_ratio': 0.6000000000000001}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004292011260986328,0.0,0.0009398460388183594,0.0,10,0.7000000000000001,"{'model__alpha': 10, 'model__l1_ratio': 0.7000000000000001}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004279136657714844,0.0,0.0009341239929199219,0.0,10,0.8,"{'model__alpha': 10, 'model__l1_ratio': 0.8}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004275083541870117,0.0,0.0009381771087646484,0.0,10,0.9,"{'model__alpha': 10, 'model__l1_ratio': 0.9}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.0057621002197265625,0.0,0.0009357929229736328,0.0,10,1.0,"{'model__alpha': 10, 'model__l1_ratio': 1.0}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.00459599494934082,0.0,0.0009379386901855469,0.0,100,0.1,"{'model__alpha': 100, 'model__l1_ratio': 0.1}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004286050796508789,0.0,0.0009381771087646484,0.0,100,0.2,"{'model__alpha': 100, 'model__l1_ratio': 0.2}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.0044252872467041016,0.0,0.0009288787841796875,0.0,100,0.30000000000000004,"{'model__alpha': 100, 'model__l1_ratio': 0.30000000000000004}",-1.2871205235891103,-1.0000000000000004
57,-1.2871205235891103,0.0,-1.0000000000000004,0.0,0.004287004470825195,0.0,0.0009362697601318359,0.0,100,0.4,"{'model__alpha': 100, 'model__l1_ratio': 0.4}",-1.2871205235891103,-1.0000000000000004
